season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,composite_score,global_rank,rating
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Anderson,"Spires, Preston",Preston,Spires,,939,"Spires, Preston","SPIRES,PRESTON",Anderson,ANDERS,0,0,0,47,0,47,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,311,55
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Transylvania,"Spurlock, Ethan",Ethan,Spurlock,,28749,"Spurlock, Ethan","SPURLOCK,ETHAN",Transylvania,TRA,1039-3246,0,0,13,0,13,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,312,54
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Stohlmann, Chase",Chase,Stohlmann,,585,"Stohlmann, Chase","STOHLMANN,CHASE",Rose-Hulman,RHT,1038-5339,3,0,14,0,14,0,0,0,5,0,0,0,0,0,1.67,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,122:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,313,54
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Bluffton,"Taylor, Quinn",Quinn,Taylor,,987,"Taylor, Quinn","TAYLOR,QUINN",Bluffton,BLFTN,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,314,54
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Bluffton,"Tester, Ian",Ian,Tester,,987,"Tester, Ian","TESTER,IAN",Bluffton,BLFTN,0,0,0,00,0,00,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,315,54
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Transylvania,"Thoss, Logan",Logan,Thoss,,28749,"Thoss, Logan","THOSS,LOGAN",Transylvania,TRA,1039-3248,0,0,21,0,21,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,316,54
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Earlham,"Tippayapaphanupap, Sirapob",Sirapob,Tippayapaphanupap,,195,"Tippayapaphanupap, Sirapob","TIPPAYAPAPHANUPAP,SIRAPOB",Earlham,EC,1215-1956,3,0,15,0,15,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,1,1,0,.67,.33,.33,.00,0,,59:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,317,54
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Mount St. Joseph,"Tofoya, Max",Max,Tofoya,,8567,"Tofoya, Max","TOFOYA,MAX",Mount St. Joseph,MSJ,1037-3523,2,0,18,0,18,0,0,0,2,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,47:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,318,54
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Franklin,"Tolliver, Mason",Mason,Tolliver,,2694,"Tolliver, Mason","TOLLIVER,MASON",Franklin,FRA,1034-2726,0,0,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,319,54
2026-27,msoc,Heartland Collegiate Athletic Conference (HCAC),hcac,Rose-Hulman,"Toohill, Ben",Ben,Toohill,,585,"Toohill, Ben","TOOHILL,BEN",Rose-Hulman,RHT,1038-5338,0,0,2,0,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-1.1617735617683993,320,53
