rank,conference_code,conference,season,team,player_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
59,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,D McKnight Jr.,25,19.0,5.6,2.0,0.6,0.6,0.5,0.9,-1.949934903032092,-0.611958363204607,-0.8491204416087459,-0.9589884314197099,-0.530954225214516,0.5285053655208638,-0.6761030804298332
60,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oneonta,H Herlihy,26,20.0,4.7,2.8,1.2,0.4,0.1,0.5,-1.9686717484075678,-0.8170929552879183,-0.47222052946241216,-0.31883573981224533,-0.9098925104298548,-0.5868679212225546,-1.2095422081084175
61,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,T Borges,26,15.1,5.3,2.9,0.5,0.4,0.4,0.7,-1.9800822500057622,-0.6803365605657107,-0.42510804044412037,-1.0656805466876207,-0.9098925104298548,0.2496620438350093,-0.9428226442691254
62,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,S Shury-Muse,16,11.9,4.6,3.9,0.6,0.5,0.1,0.5,-2.0048633606955146,-0.8398856877416196,0.046016849738796904,-0.9589884314197099,-0.7204233678221853,-0.5868679212225546,-1.2095422081084175
63,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,D Brooks,17,18.1,6.2,3.0,0.8,0.4,0.2,1.1,-2.018375505292445,-0.47520196848239915,-0.3779955514258286,-0.7456042008838883,-0.9098925104298548,-0.3080245995366999,-0.409383516590541
64,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Morrisville,T Cooper,22,14.1,4.5,3.2,0.5,0.5,0.3,0.6,-2.183829006329946,-0.8626784201953208,-0.28377057338924505,-1.0656805466876207,-0.7204233678221853,-0.029181277850845393,-1.0761824261887714
65,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,B Cheng,16,20.0,5.1,2.8,1.8,0.4,0.1,1.3,-2.191725608938467,-0.7259220254731132,-0.47222052946241216,0.32131695179521935,-0.9098925104298548,-0.5868679212225546,-0.142663952751249
66,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,L Cox,24,11.4,4.3,2.7,0.1,0.2,0.8,0.5,-2.2190391546200727,-0.9082638851027234,-0.5193330184807037,-1.4924490077592636,-1.2888307956451936,1.3650353305784277,-1.2095422081084175
67,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,O Sy,23,14.1,4.5,2.7,0.8,0.7,0.4,1.0,-2.222529774523625,-0.8626784201953208,-0.5193330184807037,-0.7456042008838883,-0.3414850826068465,0.2496620438350093,-0.5427432985101872
68,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,C McDonald,24,10.0,2.8,3.7,0.5,0.5,0.3,0.4,-2.5805125471203345,-1.2501548719082425,-0.04820812829778642,-1.0656805466876207,-0.7204233678221853,-0.029181277850845393,-1.3429019900280637
