season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,composite_score,global_rank,rating
2026-27,msoc,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,"Coyne, Dylan",Dylan,Coyne,,12399,"Coyne, Dylan","COYNE,DYLAN",Gwynedd Mercy Univ.,GMU,1305-2833,1,0,23,0,23,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,21:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,64,81
2026-27,msoc,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,"Coyne, Gavin",Gavin,Coyne,,12399,"Coyne, Gavin","COYNE,GAVIN",Gwynedd Mercy Univ.,GMU,1305-2834,0,0,26,0,26,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,65,81
2026-27,msoc,Atlantic East Conference (AEC),aec,Marymount (VA),"Cruz-Reyes, Franklin",Franklin,Cruz-Reyes,,394,"Cruz-Reyes, Franklin","CRUZ-REYES,FRANKLIN",Marymount (VA),MARY,658-1911,3,2,29,0,29,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,88:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,66,81
2026-27,msoc,Atlantic East Conference (AEC),aec,Centenary (NJ),"Curran, Jimmy",Jimmy,Curran,,12884,"Curran, Jimmy","CURRAN,JIMMY",Centenary (NJ),CENTEN,1331-3906,0,0,00,0,00,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,67,81
2026-27,msoc,Atlantic East Conference (AEC),aec,Immaculata,"D'Adamo, Joseph",Joseph,D'Adamo,,303,"D'Adamo, Joseph","D'ADAMO,JOSEPH",Immaculata,IMM,1306-3480,0,0,8,0,8,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,68,80
2026-27,msoc,Atlantic East Conference (AEC),aec,Pratt Institute,David Garcia-Sanchez,David,Garcia-Sanchez,,2715,David Garcia-Sanchez,"GARCIA-SANCHEZ,DAVID",Pratt Institute,PRATT,2097-1125,0,0,13,0,13,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,69,80
2026-27,msoc,Atlantic East Conference (AEC),aec,Immaculata,"Davis, Kabot",Kabot,Davis,,303,"Davis, Kabot","DAVIS,KABOT",Immaculata,IMM,1306-3793,0,0,20,0,20,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,70,80
2026-27,msoc,Atlantic East Conference (AEC),aec,Immaculata,"DeStephanis, Patrick",Patrick,DeStephanis,,303,"DeStephanis, Patrick","DESTEPHANIS,PATRICK",Immaculata,IMM,1306-3795,0,0,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,71,79
2026-27,msoc,Atlantic East Conference (AEC),aec,Immaculata,"Diehl, Colin",Colin,Diehl,,303,"Diehl, Colin","DIEHL,COLIN",Immaculata,IMM,1306-3642,1,0,18,0,18,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,1.00,.00,.00,.00,0,,33:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,72,79
2026-27,msoc,Atlantic East Conference (AEC),aec,Centenary (NJ),"Dilluvio, Ethan",Ethan,Dilluvio,,12884,"Dilluvio, Ethan","DILLUVIO,ETHAN",Centenary (NJ),CENTEN,1331-3907,1,0,30,0,30,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,10:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,73,79
2026-27,msoc,Atlantic East Conference (AEC),aec,Marymount (VA),"Dominguez, Andy",Andy,Dominguez,,394,"Dominguez, Andy","DOMINGUEZ,ANDY",Marymount (VA),MARY,658-2489,2,0,28,0,28,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,23:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,74,79
2026-27,msoc,Atlantic East Conference (AEC),aec,Gwynedd Mercy Univ.,"Dougherty, Emmett",Emmett,Dougherty,,12399,"Dougherty, Emmett","DOUGHERTY,EMMETT",Gwynedd Mercy Univ.,GMU,1305-2611,2,0,24,0,24,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,43:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,75,78
2026-27,msoc,Atlantic East Conference (AEC),aec,Centenary (NJ),"Dugarte, Ander",Ander,Dugarte,,12884,"Dugarte, Ander","DUGARTE,ANDER",Centenary (NJ),CENTEN,1331-3814,1,0,6,0,6,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,10:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,76,78
2026-27,msoc,Atlantic East Conference (AEC),aec,Pratt Institute,Eero Lane,Eero,Lane,,2715,Eero Lane,"LANE,EERO",Pratt Institute,PRATT,2097-1127,2,0,19,0,19,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,1,0,1.00,.50,.00,.00,0,,83:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,77,78
2026-27,msoc,Atlantic East Conference (AEC),aec,Saint Elizabeth University,"Egbokhare, Winner",Winner,Egbokhare,,9684,"Egbokhare, Winner","EGBOKHARE,WINNER",Saint Elizabeth University,SEU,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,78,78
2026-27,msoc,Atlantic East Conference (AEC),aec,Centenary (NJ),"Ferreria, Andre",Andre,Ferreria,,12884,"Ferreria, Andre","FERRERIA,ANDRE",Centenary (NJ),CENTEN,1331-3807,3,0,18,0,18,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,18:00,0,.00,.00,,,,,,,,,,,,,,,,,,-0.9157726589316851,79,77
