season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Stockton,"Peacock, Kaylie",Kaylie,Peacock,,681,"Peacock, Kaylie","PEACOCK,KAYLIE",Stockton,STO,1153-2676,2,2,14,0,14,0,0,0,1,0,0,0,0,0,.50,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,116:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,233,60
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,"Perez, Alisha",Alisha,Perez,,589,"Perez, Alisha","PEREZ,ALISHA",Rutgers-Newark,RUN,1161-2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,234,60
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Stockton,"Pino, Ava",Ava,Pino,,681,"Pino, Ava","PINO,AVA",Stockton,STO,1153-2838,1,0,10,0,10,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,18:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,235,60
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Camden,"Pino, Josie",Josie,Pino,,588,"Pino, Josie","PINO,JOSIE",Rutgers-Camden,RUT,1155-5435,0,0,22,0,22,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,236,59
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Montclair State,"Pires, Suzie",Suzie,Pires,,442,"Pires, Suzie","PIRES,SUZIE",Montclair State,MSU,1149-15286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,237,59
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Camden,"Piteri, Victoria",Victoria,Piteri,,588,"Piteri, Victoria","PITERI,VICTORIA",Rutgers-Camden,RUT,1155-5182,1,0,7,0,7,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,07:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,238,59
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Kean,"Platt, Aubrey",Aubrey,Platt,,329,"Platt, Aubrey","PLATT,AUBREY",Kean,Kean,1148-6797,0,0,28,0,28,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,239,59
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Stockton,"Portley, Katie",Katie,Portley,,681,"Portley, Katie","PORTLEY,KATIE",Stockton,STO,1153-2472,0,0,98,0,98,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,240,59
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,"Prince, Skylar",Skylar,Prince,,589,"Prince, Skylar","PRINCE,SKYLAR",Rutgers-Newark,RUN,1161-2484,2,2,4,0,4,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,3,0,0,0,1.50,.00,.00,.00,0,,147:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,241,59
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Stockton,"Que, Gia",Gia,Que,,681,"Que, Gia","QUE,GIA",Stockton,STO,1153-2298,0,0,2,0,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,242,58
