conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Knight,Kelly",0,G,13,26,26,56,162,44,125,10,8,164,1,21,52,749,9,86,95,43,0,36,1,0,0.35,0.35,0.80,6.31,3.65,2.00,0.81,0.04
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Brady,Averiel",0,F,14,26,25,34,102,18,52,26,17,103,4,19,24,624,18,83,101,44,0,41,0,0,0.33,0.35,0.65,3.96,3.88,0.92,0.73,0.15
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Linder,Grace",0,G,15,17,0,11,23,3,8,8,4,29,3,9,6,76,2,18,20,11,0,7,0,0,0.48,0.38,0.50,1.71,1.18,0.35,0.53,0.18
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Haas,Laiken",0,G,22,26,0,34,78,19,47,10,9,96,14,17,23,406,7,85,92,38,0,14,0,0,0.44,0.40,0.90,3.69,3.54,0.88,0.65,0.54
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Grubbs,Quinn",0,G,23,26,0,34,97,14,51,14,7,89,2,23,28,415,7,34,41,33,0,23,0,0,0.35,0.27,0.50,3.42,1.58,1.08,0.88,0.08
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Gehrke,Josie",0,G,24,26,0,18,53,2,12,16,8,46,5,12,7,209,19,14,33,23,0,19,0,0,0.34,0.17,0.50,1.77,1.27,0.27,0.46,0.19
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Keeney,Katie",0,F,30,7,0,2,5,0,0,2,2,6,0,2,1,20,2,7,9,4,0,2,0,0,0.40,0.00,1.00,0.86,1.29,0.14,0.29,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Wurth,Gianna",0,G,31,3,0,1,2,0,0,0,0,2,0,0,0,8,0,1,1,1,0,1,0,0,0.50,0.00,0.00,0.67,0.33,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Helmrichs,Audrie",0,F,33,26,26,176,263,0,3,82,63,415,8,21,29,769,84,119,203,67,0,53,1,0,0.67,0.00,0.77,15.96,7.81,1.12,0.81,0.31
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Thierer,Hannah",0,G,12,5,0,1,3,0,0,0,0,2,0,0,1,18,0,0,0,1,0,4,0,0,0.33,0.00,0.00,0.40,0.00,0.20,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Erger,Ava",0,G,21,4,0,0,4,0,4,0,0,0,0,1,0,12,1,0,1,1,0,2,0,0,0.00,0.00,0.00,0.00,0.25,0.00,0.25,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Simpson,Peyton",0,G,25,7,0,3,7,2,4,3,3,11,0,0,1,20,0,3,3,0,0,0,0,0,0.43,0.50,1.00,1.57,0.43,0.14,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Danner,Erin",0,F,31,19,0,11,22,0,0,14,10,32,4,4,1,135,6,19,25,19,0,6,0,0,0.50,0.00,0.71,1.68,1.32,0.05,0.21,0.21
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Brunson,Taylor",0,G,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Coe,"Wallin,Morgan",0,G,34,4,0,1,1,0,0,0,0,2,1,0,1,7,0,1,1,0,0,1,0,0,1.00,0.00,0.00,0.50,0.25,0.25,0.00,0.25
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Strum,Haylie",0,G,00,27,27,156,342,21,77,115,90,423,32,62,112,916,42,98,140,80,0,80,2,0,0.46,0.27,0.78,15.67,5.19,4.15,2.30,1.19
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Ubl,Katelyn",0,G,01,25,0,14,43,14,39,0,0,42,0,3,14,292,1,5,6,11,0,15,0,0,0.33,0.36,0.00,1.68,0.24,0.56,0.12,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Thomas,Lexi",0,G,02,27,27,74,209,55,155,14,12,215,12,11,30,698,18,74,92,43,0,49,0,0,0.35,0.35,0.86,7.96,3.41,1.11,0.41,0.44
