season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,Julia Ellsworth,Julia,Ellsworth,,114,Julia Ellsworth,"ELLSWORTH,JULIA",ELLSWORTHJULIACALVIN,0,0,,,Calvin,CALVIN,1086-2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,57,83
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Trine,Lillian O'Neal,Lillian,O'Neal,,30037,Lillian O'Neal,"O'NEAL,LILLIAN",O'NEALLILLIANTRINE,0,0,,,Trine,TRINE,1091-4480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,58,83
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Poppy Balkema,Poppy,Balkema,,326,Poppy Balkema,"BALKEMA,POPPY",BALKEMAPOPPYKALAMAZO,0,0,,,Kalamazoo,KALAMAZO,1088-1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0.0,59,82
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,Mya Reyes,Mya,Reyes,,4,Mya Reyes,"REYES,MYA",REYESMYAADRIAN,17,17,,,Adrian,ADRIAN,1083-6701,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,24,1,13,20,985:00,146,0,1.000,,1,1,0,2,2,0,1.000,0.12,,,,,,,,,,,,,,,,,,,-0.07335035098800757,60,82
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,Jessica Eenigenberg,Jessica,Eenigenberg,,114,Jessica Eenigenberg,"EENIGENBERG,JESSICA",EENIGENBERGJESSICACALVIN,18,5,,,Calvin,CALVIN,1086-2349,0,3,0,0,0,0,6,0,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,6,28,17,5,288:00,79,0,1.000,,21,35,9,18,6,12,.600,1.00,,,,,,,,,,,,,,,,,,,-0.14864012280441477,61,82
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Alma,Olivia Lazenby,Olivia,Lazenby,,21,Olivia Lazenby,"LAZENBY,OLIVIA",LAZENBYOLIVIAALMA,12,12,,,Alma,ALMA,1085-4230,0,3,0,0,0,2,10,0,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,11,6,28,3,720:00,0,0,1.000,,24,29,9,17,6,11,.828,1.42,,,,,,,,,,,,,,,,,,,-0.19879834621142878,62,81
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Saint Mary's,June McMahon,June,McMahon,,8688,June McMahon,"MCMAHON,JUNE",MCMAHONJUNEST. MARY,14,6,,,Saint Mary's,ST. MARY,1090-536,0,5,0,0,0,0,6,0,4,0,0,0,0,11,2,0,0,0,0,0,0,0,0,13,12,12,7,503:00,121,0,1.000,,20,33,8,13,5,8,.606,0.93,,,,,,,,,,,,,,,,,,,-0.27924451275386136,63,81
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,Megan Bushart,Megan,Bushart,,286,Megan Bushart,"BUSHART,MEGAN",BUSHARTMEGANHOPE,14,0,,,Hope,HOPE,1087-3745,0,1,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,14,19,11,8,00:00,0,0,1.000,,9,14,1,11,5,6,.643,0.79,,,,,,,,,,,,,,,,,,,-0.38539492319951885,64,81
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,Dani Dahlinger,Dani,Dahlinger,,286,Dani Dahlinger,"DAHLINGER,DANI",DAHLINGERDANIHOPE,13,3,,,Hope,HOPE,1087-3382,0,1,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,11,1,180:00,0,0,1.000,,12,13,1,18,10,8,.923,1.38,,,,,,,,,,,,,,,,,,,-0.4296625263063424,65,81
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Alma,Makayla Kozal,Makayla,Kozal,,21,Makayla Kozal,"KOZAL,MAKAYLA",KOZALMAKAYLAALMA,12,12,,,Alma,ALMA,1085-3946,0,1,0,0,0,0,5,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,7,2,22,3,720:00,0,0,1.000,,24,31,1,17,3,14,.774,1.42,,,,,,,,,,,,,,,,,,,-0.5107986450806332,66,80
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Saint Mary's,Sophia Delgado,Sophia,Delgado,,8688,Sophia Delgado,"DELGADO,SOPHIA",DELGADOSOPHIAST. MARY,14,14,,,Saint Mary's,ST. MARY,1090-195,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,25,2,16,18,830:00,19,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-0.5159697975874273,67,80
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,Elliana Hillard,Elliana,Hillard,,286,Elliana Hillard,"HILLARD,ELLIANA",HILLARDELLIANAHOPE,6,6,,,Hope,HOPE,1087-3753,0,2,0,0,0,0,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,12,4,360:00,0,0,1.000,,20,25,3,17,2,15,.800,2.83,,,,,,,,,,,,,,,,,,,-0.5612465945892402,68,80
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,Alex Petrusha,Alex,Petrusha,,114,Alex Petrusha,"PETRUSHA,ALEX",PETRUSHAALEXCALVIN,17,13,,,Calvin,CALVIN,1086-2353,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,24,5,10,18,776:00,49,0,1.000,,0,1,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-0.564251217741063,69,80
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Marin Miroslavich,Marin,Miroslavich,,326,Marin Miroslavich,"MIROSLAVICH,MARIN",MIROSLAVICHMARINKALAMAZO,17,15,,,Kalamazoo,KALAMAZO,1088-1997,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,14,2,20,1,888:00,56,0,1.000,,15,27,3,14,6,8,.556,0.82,,,,,,,,,,,,,,,,,,,-0.585691004075225,70,79
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,Caroline Curnutt,Caroline,Curnutt,,286,Caroline Curnutt,"CURNUTT,CAROLINE",CURNUTTCAROLINEHOPE,19,19,,,Hope,HOPE,1087-3087,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,27,58,9,16,1140:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,,-0.5908864843805927,71,79
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Saint Mary's,Piper Downey,Piper,Downey,,8688,Piper Downey,"DOWNEY,PIPER",DOWNEYPIPERST. MARY,14,9,,,Saint Mary's,ST. MARY,1090-447,0,2,0,0,0,0,6,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,14,22,11,4,506:00,181,0,1.000,,17,21,4,12,2,10,.810,0.86,,,,,,,,,,,,,,,,,,,-0.7271427985802978,72,79
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Saint Mary's,Annabelle Spruill,Annabelle,Spruill,,8688,Annabelle Spruill,"SPRUILL,ANNABELLE",SPRUILLANNABELLEST. MARY,13,8,,,Saint Mary's,ST. MARY,1090-453,0,3,0,0,0,0,8,1,2,3,0,0,0,7,2,0,0,0,0,0,0,0,0,9,14,18,5,562:00,195,0,1.000,,18,28,4,13,2,11,.643,1.00,,,,,,,,,,,,,,,,,,,-0.762724338723502,73,78
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Trine,Claire Schmaltz,Claire,Schmaltz,,30037,Claire Schmaltz,"SCHMALTZ,CLAIRE",SCHMALTZCLAIRETRINE,15,15,,,Trine,TRINE,1091-4474,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,27,3,17,12,896:00,49,0,1.000,,2,3,0,1,0,1,.667,0.07,,,,,,,,,,,,,,,,,,,-0.8137597415067097,74,78
