conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
mwc,Midwest Conference (MWC),2025-26,wvball,Lake Forest,"Yates, Crystyna",0,,7,33,17,0.058,190.0,47.0,58.0,0.0,1.0,27.0,0.0,5.0,6.0,44.0,0.0,0.0,115.0,17.0,41.0,3.0,1.0,2.0,1.0,65.0,1.0,1.76,0.0,1.24,0.09,0.15,1.97,0.9509496748087514,1.0851817298816062,-0.435021861831712,-0.31334343628661937,0.00043119698132491294,0.05046929455648514,0.29935931940428057,-0.47511131008200724,1.4018392930306953,36,71
mwc,Midwest Conference (MWC),2025-26,wvball,Beloit,"Murphy, Naomi",0,,10,92,51,0.092,502.0,101.0,147.0,5.0,7.0,71.0,0.0,10.0,25.0,110.0,0.0,0.0,4.0,0.0,26.0,38.0,1.0,29.0,9.0,180.5,1.0,1.6,0.05,0.28,0.41,0.11,1.96,0.9409328756517444,0.9090181709298237,-0.40197520990860114,1.1324086046265263,-0.26691093144006517,-0.8382681054441063,1.5377372545851755,0.8739760709031105,1.281890131819307,37,70
mwc,Midwest Conference (MWC),2025-26,wvball,Grinnell,"Snell, Kylie",0,,10,99,41,0.299,354.0,41.0,147.0,3.0,0.0,53.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,27.0,46.0,2.0,35.0,11.0,175.5,3.0,1.48,0.03,0.27,0.46,0.0,1.77,0.7506136916686135,0.7768955017159865,-0.41519387067784547,1.3583073610192056,-1.002101784598888,-0.8475257866941125,0.16176177105084774,-0.7591297060788742,1.2330059070289328,38,70
mwc,Midwest Conference (MWC),2025-26,wvball,Monmouth (IL),"Aldrich, Lauren",0,,5,58,0,0.092,382.0,83.0,118.0,0.0,0.0,19.0,0.0,3.0,3.0,28.0,0.0,0.0,211.0,20.0,21.0,6.0,1.0,5.0,1.0,124.5,1.0,2.03,0.0,0.36,0.1,0.05,2.15,1.1312520596348754,1.3824577356127394,-0.435021861831712,-0.2681636850080835,-0.6679241240721504,-0.7642066554440571,1.1249446095248774,-0.6881251070796575,1.227725563835114,39,70
mwc,Midwest Conference (MWC),2025-26,wvball,Ripon,"Michaels, Hannah",0,,10,78,61,0.088,420.0,98.0,135.0,2.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,28.0,26.0,6.0,18.0,8.0,152.0,0.0,1.73,0.03,0.36,0.33,0.0,1.95,0.9309160764947375,1.052151062578147,-0.41519387067784547,0.7709705943982401,-1.002101784598888,-0.7642066554440571,1.4689384804084593,-0.9011389040773076,1.1134397179751374,40,69
mwc,Midwest Conference (MWC),2025-26,wvball,Knox,"Thunhurst, Zoe",0,,6,83,40,0.028,389.0,54.0,65.0,148.0,11.0,765.0,0.0,20.0,13.0,243.0,0.0,0.0,338.0,28.0,293.0,8.0,1.0,7.0,1.0,89.5,0.0,0.78,1.78,3.53,0.1,0.24,1.08,0.059454549835137885,0.0061799313019375145,0.7414389466310337,-0.2681636850080835,0.6019509859294527,2.170478300807896,0.4598897924832855,0.021920882912509813,1.0644099431371135,41,69
mwc,Midwest Conference (MWC),2025-26,wvball,Ripon,"Arlen, Tristin",0,,18,27,6,0.143,28.0,1.0,5.0,127.0,12.0,386.0,0.0,8.0,8.0,77.0,0.0,0.0,3.0,0.0,62.0,0.0,1.0,0.0,0.0,13.0,1.0,0.19,4.7,2.3,0.0,0.3,0.48,-0.5415533995852758,-0.643423192332761,2.671363418940706,-0.7199611977934416,1.002964178561538,1.0317835070571382,-0.7555552179720376,-0.3331021120835738,1.0300983020078827,42,69
mwc,Midwest Conference (MWC),2025-26,wvball,Cornell College,"Kaus, Lizzy",0,,11,40,25,-0.029,69.0,18.0,16.0,3.0,0.0,11.0,0.0,13.0,13.0,105.0,0.0,0.0,5.0,0.0,8.0,27.0,6.0,26.0,1.0,43.0,0.0,0.4,0.08,0.2,0.68,0.33,1.08,0.059454549835137885,-0.4122085212085463,-0.3821472187547347,2.3522618891469937,1.2034707748775806,-0.9123295554441557,-0.3656954976373113,0.021920882912509813,1.0007832785151616,43,68
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Geiser, Alayna",0,,9,124,48,0.09,631.0,121.0,178.0,18.0,7.0,141.0,0.0,34.0,45.0,245.0,0.0,0.0,596.0,43.0,295.0,12.0,1.0,11.0,1.0,218.5,1.0,1.44,0.15,2.38,0.1,0.27,1.76,0.7405968925116067,0.7328546119780409,-0.33588190606237944,-0.2681636850080835,0.8024575822454955,1.1058449570571875,1.9963957490966182,2.294068050887445,0.9600279132069969,44,68
mwc,Midwest Conference (MWC),2025-26,wvball,Illinois Col.,"Brandis, Summer",0,,13,115,49,0.229,109.0,8.0,33.0,543.0,23.0,1610.0,0.0,30.0,22.0,363.0,0.0,0.0,1.0,0.0,234.0,2.0,0.0,2.0,0.0,64.0,2.0,0.29,4.72,2.03,0.02,0.26,0.56,-0.4614190063292206,-0.533320967987897,2.6845820797099504,-0.62960169523637,0.7356220501401479,0.7818261133069717,-0.5950247448930327,0.6609622739054604,0.9504866894591096,45,67
