conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,composite_score,rank,rating,global_rank
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Muskingum,Liam Manning,,,,15,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,5.0,4.0,780:00,0.0,0.0,1.0,,,,,,,,,,,,,,,4.0,6.0,0.0,3.0,1.0,2.0,0.667,-0.6387867666594094,176,56,4539
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Wilmington,Zach Swearingen,,,,15,6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,28.0,32.0,0.0,25.0,9.0,307:00,54.0,34.0,1.0,,,,,,,,,,,,,,,9.0,16.0,0.0,5.0,3.0,2.0,0.563,-0.6451297214612465,177,56,4772
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Mount Union,Cole Niemann,,,,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,3.0,7.0,296:00,50.0,0.0,1.0,,,,,,,,,,,,,,,1.0,2.0,0.0,1.0,1.0,0.0,0.5,-0.6459306598310767,178,55,4738
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Baldwin Wallace,Tommy Orsini,,,,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,00:00,0.0,0.0,1.0,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.6602263211755639,179,55,4754
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Heidelberg,Matt Robeson,,,,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,11.0,8.0,236:00,50.0,2.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,-0.672213067414647,180,55,4906
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Capital,Rob Smith,,,,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,00:00,0.0,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6799658597731566,181,55,4820
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Ohio Northern,Luke Ferro,,,,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,6.0,00:00,0.0,0.0,1.0,,,,,,,,,,,,,,,0.0,4.0,0.0,2.0,2.0,0.0,0.0,-0.6885613375249995,182,55,4923
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Ohio Northern,Ryan Baum,,,,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,2.0,00:00,0.0,0.0,1.0,,,,,,,,,,,,,,,7.0,11.0,0.0,5.0,3.0,2.0,0.636,-0.6889438423764749,183,55,4699
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Wilmington,Brock Fugate,,,,15,3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,14.0,5.0,226:00,74.0,0.0,1.0,,,,,,,,,,,,,,,7.0,7.0,0.0,6.0,2.0,4.0,1.0,-0.6894577053713424,184,55,4650
oac,Ohio Athletic Conference (OAC),2025-26,mlax,Muskingum,Kacy Perry,,,,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,4.0,12.0,300:00,0.0,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6919706099541875,185,55,4980
