conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,composite_score,global_rank,rating
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Grzybowski, Hannah",,0,18,14,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,00:00,0,0,0,0,0,0,0,26.0,27.0,53.0,0.491,1.04,1.0,0.0,1.0,2.0,0.0,9.0,1.0,0.0,1.0,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,21,92
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Doyle, Ava",,0,19,24,5,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5,10:00,0,0,0,0,0,0,5,4.0,5.0,9.0,0.444,1.25,14.0,8.0,6.0,24.0,0.0,37.0,5.0,3.0,2.0,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,22,91
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Ponik, Sara",,0,20,12,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,02:00,0,0,0,0,0,0,1,1.0,0.0,1.0,1.0,100.0,4.0,2.0,2.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,23,91
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Harrison, Kylie",,0,21,26,8,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6,12:00,0,0,0,0,0,0,6,6.0,11.0,17.0,0.353,1.83,17.0,10.0,7.0,9.0,0.0,110.0,11.0,4.0,7.0,0.06,0.0,0.0,,,,,,,,,,,,,,,,,,,24,91
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Holmes, Alaina",,0,22,25,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6,12:00,0,0,0,0,0,0,6,1.0,1.0,2.0,0.5,1.0,7.0,13.0,-6.0,3.0,0.0,37.0,4.0,1.0,3.0,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,25,91
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Slough, Morgan",,0,24,26,22,0.0,,0.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,13,40:00,0,0,1,0,0,2,10,321.0,235.0,556.0,0.577,0.73,18.0,11.0,7.0,11.0,0.0,80.0,13.0,7.0,6.0,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,26,91
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Waara, Allison",,0,25,25,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,08:00,0,0,0,0,0,0,4,55.0,30.0,85.0,0.647,0.55,4.0,7.0,-3.0,5.0,0.0,43.0,1.0,0.0,1.0,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,27,91
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Phillips, Niomi",,0,27,7,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,04:00,0,0,0,0,0,0,2,5.0,2.0,7.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,28,90
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Inoue, Grace",,0,28,21,2,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,08:00,0,0,0,0,0,0,4,105.0,103.0,208.0,0.505,0.0,9.0,6.0,3.0,7.0,0.0,19.0,7.0,5.0,2.0,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,29,90
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Inoue, Lily",,0,29,3,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,30,90
